"","PC","ATE","SE","noise_type","noise_params","solution","data"
"1",1,5.04367484863485,0.0448924306136481,"None","None","2 4 b","sim1 5000"
"2",2,5.0421048646039,0.0449123184175285,"None","None","2 4 b","sim1 5000"
"3",3,5.04512063868165,0.0451506836355244,"None","None","2 4 b","sim1 5000"
"4",4,5.04475506427595,0.0450601902554905,"None","None","2 4 b","sim1 5000"
"5",5,5.03870239501536,0.0449611218495111,"None","None","2 4 b","sim1 5000"
"6",6,5.02332270264303,0.0452762099093536,"None","None","2 4 b","sim1 5000"
"7",7,5.02027102217524,0.0455512131250013,"None","None","2 4 b","sim1 5000"
"8",8,4.99400433708124,0.045310658388218,"None","None","2 4 b","sim1 5000"
"9",9,4.98243491481779,0.045353734954225,"None","None","2 4 b","sim1 5000"
"10",10,4.98993355560019,0.0458696400169214,"None","None","2 4 b","sim1 5000"
"11",11,4.97204231664663,0.0457577882207147,"None","None","2 4 b","sim1 5000"
"12",12,4.94322696822276,0.0456390014458326,"None","None","2 4 b","sim1 5000"
"13",13,4.92963159357691,0.0457597092500229,"None","None","2 4 b","sim1 5000"
"14",14,4.91682954627078,0.0461423515842332,"None","None","2 4 b","sim1 5000"
"15",15,4.9041510222337,0.0458563869879554,"None","None","2 4 b","sim1 5000"
"16",16,4.91185141996572,0.0462635935930961,"None","None","2 4 b","sim1 5000"
"17",17,4.87200394091708,0.0461593019102828,"None","None","2 4 b","sim1 5000"
"18",18,4.83351035662491,0.0459643391225499,"None","None","2 4 b","sim1 5000"
"19",19,4.82218073911987,0.0461824314893171,"None","None","2 4 b","sim1 5000"
"20",20,4.80568266202601,0.0467823521513134,"None","None","2 4 b","sim1 5000"
"21",21,4.77926442748455,0.0464270476612714,"None","None","2 4 b","sim1 5000"
"22",22,4.80395725835667,0.0469222506475586,"None","None","2 4 b","sim1 5000"
"23",23,4.7680326422014,0.046832812938568,"None","None","2 4 b","sim1 5000"
"24",24,4.77912012715028,0.0469304632874982,"None","None","2 4 b","sim1 5000"
"25",25,4.70665406069501,0.0477629301089613,"None","None","2 4 b","sim1 5000"
"26",26,4.59511777259319,0.0483351980490068,"None","None","2 4 b","sim1 5000"
"27",27,4.4954880589326,0.0483073738084184,"None","None","2 4 b","sim1 5000"
