"","noise","CI","ATE","SE","bias"
"1",0.2,96,2.36152832573732,0.0757708827896651,0
"2",0.2,8,2.38324905240534,0.00308378306806542,1
"3",0.4,98,2.24078941234066,0.0727161189772997,0
"4",0.4,6,2.28552365068029,0.00298577347105095,1
"5",0.6,97,2.12826769513069,0.073729019771444,0
"6",0.6,12,2.19082392622784,0.00305140964082958,1
"7",0.8,98,2.21633215079219,0.0719300998068887,0
"8",0.8,10,2.2136918194659,0.00302004537317234,1
"9",1,95,2.05831533149787,0.0765880859751883,0
"10",1,9,2.09082319375797,0.00317557954277373,1
