"","noise","ATE","SE","bias","alg","CI 80","CI 95"
"1","0",2.2011106877795,0.0241275091055783,0,"2 4 5",419,486
"2","0",2.21567952898557,0.0241863303471166,0,"2 4 7",421,484
"3","0",2.20481219263176,0.0241843817085741,0,"2 4 10",418,487
"4","0",2.21231564121964,0.00106941646423879,1,"2 4 5",27,39
"5","0",2.21208498854669,0.00105156685570797,1,"2 4 7",27,37
"6","0",2.21321583389533,0.00107862627980773,1,"2 4 10",28,41
"7","0.1",2.27954718615025,0.0240702775267315,0,"2 4 5",416,482
"8","0.1",2.25482263927198,0.024707546880183,0,"2 4 7",419,487
"9","0.1",2.26289382608151,0.0262852698051551,0,"2 4 10",432,489
"10","0.1",2.28376574819288,0.00106776021063243,1,"2 4 5",29,46
"11","0.1",2.27818666682554,0.00107804972588419,1,"2 4 7",26,39
"12","0.1",2.27291567078347,0.00110714940936725,1,"2 4 10",30,47
"13","0.2",2.4366343928652,0.0246066164175431,0,"2 4 5",388,469
"14","0.2",2.4423775122599,0.0259033559474499,0,"2 4 7",395,472
"15","0.2",2.42748578392582,0.027601395730727,0,"2 4 10",400,471
"16","0.2",2.47592627062236,0.00112775006221383,1,"2 4 5",37,52
"17","0.2",2.46257324172907,0.00113529289439758,1,"2 4 7",29,48
"18","0.2",2.44435799617031,0.0011489963507742,1,"2 4 10",21,37
"19","0.3",2.62265782793313,0.0246337586196829,0,"2 4 5",336,447
"20","0.3",2.60599459261494,0.0260065091651558,0,"2 4 7",353,453
"21","0.3",2.58864140174561,0.0273713586370763,0,"2 4 10",358,462
"22","0.3",2.66803726244809,0.0011270463433816,1,"2 4 5",12,22
"23","0.3",2.63906352995915,0.00117584756103564,1,"2 4 7",18,25
"24","0.3",2.61450856431458,0.00116500441715236,1,"2 4 10",13,22
