"","noise","ATE","SE","bias","alg","CI 95"
"1","0",9305.52774401796,1492.52134735618,1,"2 4 15",1
"2","0",10293.8138323274,2024.43117859703,1,"2 4 30",1
"3","0",10893.1076133742,1889.28775372601,1,"2 4 45",1
"4","0",7467.48192421906,4861.20549856316,1,"2 4 60",1
"5","0",11816.4010847382,2221.10329676507,1,"2 4 75",1
"6","0.1",9141.98832076193,1502.93251890479,1,"2 4 15",1
"7","0.1",9936.85635199094,1424.28742064687,1,"2 4 30",1
"8","0.1",10461.5561966722,1579.63889813204,1,"2 4 45",1
"9","0.1",10353.1705799675,1768.24557955439,1,"2 4 60",1
"10","0.1",12083.2374383754,2463.36876721875,1,"2 4 75",1
"11","0.2",8508.94519540933,1681.12425511099,1,"2 4 15",1
"12","0.2",8625.99114069617,1599.34981992451,1,"2 4 30",1
"13","0.2",7899.08642429794,1728.58197676758,1,"2 4 45",1
"14","0.2",8550.58401435642,1582.48976462075,1,"2 4 60",1
"15","0.2",8907.37451500392,1544.29077935825,1,"2 4 75",1
"16","0.3",6254.59922666642,2717.57781006231,1,"2 4 15",1
"17","0.3",9685.70409007014,1579.51632441447,1,"2 4 30",1
"18","0.3",10378.5622286974,1429.27273063506,1,"2 4 45",1
"19","0.3",10078.9974273486,1572.64344376429,1,"2 4 60",1
"20","0.3",11497.0984660002,1646.188178343,1,"2 4 75",1
