"","noise","CI95","CI80","ATE","SE","bias","alg"
"1",0,0.948,0.79,2.21793242359389,0.0107300778039321,0,"2 4 r=0 bias=0"
"2",0,0.052,0.034,2.21913202777092,0.000231372022789372,1,"2 4 r=0 bias=1"
"3",0,0.95,0.8,2.21971966948927,0.0107329450620015,0,"2 4 r=2 bias=0"
"4",0,0.05,0.032,2.219022931315,0.00023166900115559,1,"2 4 r=2 bias=1"
"5",0,0.95,0.8,2.22111087046903,0.010733801807913,0,"2 4 r=5 bias=0"
"6",0,0.052,0.04,2.21944024874322,0.000233384584694031,1,"2 4 r=5 bias=1"
"7",0,0,0,0,0,0,"1 1 bias=0"
"8",0.25,0.94,0.794,2.21576161389677,0.0107996358547712,0,"2 4 r=0 bias=0"
"9",0.25,0.024,0.018,2.21687163282349,0.000230361684926372,1,"2 4 r=0 bias=1"
"10",0.25,0.936,0.782,2.21707201025993,0.0108574605315562,0,"2 4 r=2 bias=0"
"11",0.25,0.036,0.026,2.21625711037063,0.000233934576885909,1,"2 4 r=2 bias=1"
"12",0.25,0.942,0.778,2.21536804857762,0.010978187616271,0,"2 4 r=5 bias=0"
"13",0.25,0.026,0.014,2.21633686285545,0.000238584500504044,1,"2 4 r=5 bias=1"
"14",0.25,0,0,0,0,0,"1 1 bias=0"
"15",0.5,0.944,0.806,2.20614818995249,0.0108449514488312,0,"2 4 r=0 bias=0"
"16",0.5,0.036,0.028,2.20993448148697,0.000232895628006584,1,"2 4 r=0 bias=1"
"17",0.5,0.95,0.826,2.20977801067612,0.0109265269707655,0,"2 4 r=2 bias=0"
"18",0.5,0.036,0.028,2.21016663871961,0.000235865083490251,1,"2 4 r=2 bias=1"
"19",0.5,0.942,0.808,2.20856942023514,0.0110100914250399,0,"2 4 r=5 bias=0"
"20",0.5,0.024,0.018,2.20984715560679,0.000238241470741866,1,"2 4 r=5 bias=1"
"21",0.5,0,0,0,0,0,"1 1 bias=0"
"22",0.75,0.948,0.82,2.23913329487464,0.0107382234418354,0,"2 4 r=0 bias=0"
"23",0.75,0.024,0.022,2.23911371934418,0.000233358465239756,1,"2 4 r=0 bias=1"
"24",0.75,0.954,0.806,2.23990689310343,0.0108199042468949,0,"2 4 r=2 bias=0"
"25",0.75,0.026,0.02,2.23991847831861,0.000228873368172656,1,"2 4 r=2 bias=1"
"26",0.75,0.944,0.812,2.2392655240979,0.0109064300492876,0,"2 4 r=5 bias=0"
"27",0.75,0.024,0.02,2.2396225648891,0.000240621080698839,1,"2 4 r=5 bias=1"
"28",0.75,0,0,0,0,0,"1 1 bias=0"
"29",1,0.94,0.832,2.22167864225097,0.0106752333212537,0,"2 4 r=0 bias=0"
"30",1,0.03,0.02,2.22416668323746,0.000232873717284508,1,"2 4 r=0 bias=1"
"31",1,0.948,0.836,2.2256534986736,0.0107291118420066,0,"2 4 r=2 bias=0"
"32",1,0.034,0.026,2.22428532069232,0.00023019708778256,1,"2 4 r=2 bias=1"
"33",1,0.952,0.842,2.22554781279729,0.0108356631386462,0,"2 4 r=5 bias=0"
"34",1,0.046,0.022,2.2244857402154,0.000233124976465133,1,"2 4 r=5 bias=1"
"35",1,0,0,0,0,0,"1 1 bias=0"
