"","noise","ATE","SE","bias","alg","CI 95"
"1","0",8320.9085821707,1664.330035921,1,"2 4 15",1
"2","0",8319.95254790542,1214.33984899563,1,"1 1",1
"3","0.25",10973.3346470378,1507.19223474078,1,"2 4 15",1
"4","0.25",8495.9052551254,1254.86531126873,1,"1 1",0
"5","0.5",8661.28221050718,1479.64229783998,1,"2 4 15",1
"6","0.5",8573.99827508513,1237.85766008201,1,"1 1",0
"7","0.75",9663.76673598224,1433.92140094644,1,"2 4 15",1
"8","0.75",8918.90120352641,1209.36161697956,1,"1 1",0
"9","1",9749.46877547446,1357.67086077674,1,"2 4 15",1
"10","1",8965.23833797187,1255.73119738747,1,"1 1",0
